Processing: C:\learnova_app\textbooks\F5 Bahasa Melayu.pdf
Subject: MY-BahasaMalaysia  Form: 5  Pages: 11-276 of 276
  p 51/276  SAVED  Bab 1: Karangan | Membuat Justifikasi berdasarkan Pilihan
  p 52/276  SKIP  (only 25 words)
  p 53/276  SKIP  Halaman hanya mengandungi soalan-soalan tanpa penerangan tatabahasa, sastera, atau kemahiran bahasa yang boleh diajar sebagai unit pengajaran.
  p 54/276  SAVED  Bab 1: Meniti Jaya | Mendengar dan Bertutur: Menjadi Kerjaya
  p 55/276  SAVED  Bab 1: Meniti Jaya | Solekan Kesan Khas
  p 56/276  SAVED  Bab 1 | Membaca dan Membandingkan Bahan
  p 57/276  SAVED  Bab 1: Kemahiran Membaca | 2.3.1 Membaca, Menilai, dan Membandingkan Bahan Teks yang Berbeza dengan Betul
  p 58/276  SAVED  Bab 1: Kerjaya Impian | Menulis dan Tatabahasa
  p 59/276  SAVED  Bab 1: Kerjaya dan Perkhidmatan Awam | Pegawai Tadbir Diplomatik (PTD)
  p 60/276  SAVED  Bab 1: Ajaibnya Kuasa Tangan | Kiropraktik
  p 61/276  SAVED  Bab 1: Puisi Tradisional dan Puisi Moden | 
  p 62/276  SAVED  Bab 1: Dunia Kerjaya | Kerjaya Impian
  p 63/276  SAVED  Bab 1: Meniti Kerjaya | Membaca untuk Mengenal Pasti dan Menyelesaikan Masalah
  p 64/276  SAVED  Bab 1: Kemahiran Bahasa | Permainan Bahasa - Pengukuhan
  p 65/276  SAVED  Bab 1 | Tema 4: Bersatu Kita Teguh
  p 66/276  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Rancangan Integrasi Murid untuk Perpaduan (RIMUP)
  p 67/276  SAVED  Bab 1: Kemahiran Berkomunikasi Secara Bertatasusila | Memberikan Maklum Balas Berbentuk Idea Baharu
  p 68/276  SAVED  Bab 1: Diplomasi dan Kedaulatan Negara | Membaca dan Tatabahasa: Wisma Putra
  p 69/276  SKIP  Halaman ini mengandungi peta minda bidang tanggungjawab Kementerian Luar Negeri, bukan kandungan pengajaran Bahasa Malaysia.
  p 70/276  SAVED  Bab 1: Menulis Aman Makmur Malaysia | Resipi Perpaduan dan Integrasi Nasional
  p 71/276  SAVED  Bab 1: Teguh Kita Bersatu | Pendekatan Persembahan Idea
  p 72/276  SAVED  Bab 1: Uniknya Rakyat Malaysia | Mendengar dan Bertutur
  p 73/276  SAVED  Bab 1: Perpaduan dan Integrasi Nasional | Perpaduan melalui Sukan dan Kepelbagaian Budaya
  p 74/276  SAVED  Bab 1: Tak Kenal maka Tak Cinta | Membaca Seni Bahasa
  p 75/276  SAVED  Bab 1: Teguh Kita Bersatu | 
  p 76/276  SAVED  Bab 1: Seia Sekata | Demi Kedamaian dan Kemakmuran Sejagat
  p 77/276  SKIP  Halaman ini mengandungi maklumat fakta tentang PBB dan penglibatan Malaysia, bukan kandungan tatabahasa, sastera, atau kemahiran bahasa yang boleh diajar dalam mata pelajaran Bahasa Malaysia SPM.
  p 78/276  SKIP  (only 28 words)
  p 79/276  SAVED  Bab 1: Pendidikan untuk Semua | 
  p 80/276  SAVED  Bab 1: Mendidik Insan Istimewa | Mendengar dan Bertutur
  p 81/276  SAVED  Bab 1: Pendidikan untuk Semua | 
  p 82/276  SAVED  Bab 1 | Tiada Tercicir, Tiada Terpinggir
  p 83/276  SAVED  Bab 1: Pendidikan untuk Semua | Pengalaman Guru dan Murid di Sekolah Bimbingan
  p 84/276  SAVED  Bab 1: Membina Sahsiah Unggul | Menulis Karangan dengan Bahasa Berbudaya
  p 85/276  SAVED  Bab 1: Kemahiran Menulis | Bahasa Berbudaya
  p 86/276  SAVED  Bab 1: Demi Masa Hadapan | Mendengar dan Bertutur
  p 87/276  SAVED  Bab 1: Pilihan Pendidikan Selepas SPM | 
  p 88/276  SAVED  Bab 1: Membaca Pendidikan Asas Kemajuan | 
  p 89/276  SAVED  Bab 1: Kolar Biru Bukan Kelas Rendah | Pendidikan Teknikal dan Vokasional (TVET)
  p 90/276  SAVED  Bab 1 | Penerangan Berdasarkan Infografik
  p 91/276  SAVED  Bab 1: Kemahiran Bahasa | Kesalahan Bahasa dan Pembetulan
  p 92/276  SAVED  Bab 1: Bahasa Melayu Klasik dan Peribahasa | Mengolah Bahasa Klasik ke Bahasa Baku dan Penggunaan Peribahasa
  p 93/276  SAVED  Bab 1: Perpaduan dan Integrasi Nasional | Soalan Pemahaman dan Pendapat
  p 94/276  SAVED  Bab 1: Sukan dan Wanita | Kesaksamaan Gender dalam Sukan
  p 95/276  SAVED  Bab 1: Tema 6 - Sains, Teknologi dan Inovasi | 
  p 96/276  SAVED  Bab 1: Inovasi dan Teknologi | Mendengar dan Bertutur
  p 97/276  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Mempersembahkan Idea dengan Betul dan Kreatif
  p 98/276  SAVED  Bab 1: Membaca, Tatabahasa, dan Kreativiti Menjanakan Inovasi | Ayat Terbitan
  p 99/276  SKIP  Kandungan halaman ini adalah daripada buku teks Sains/Fizik, bukan Bahasa Malaysia. Ia mengandungi konsep daya dan keseimbangan, bukan kemahiran berbahasa, kesusasteraan, atau tatabahasa yang diajar dalam subjek Bahasa Malaysia SPM.
  p100/276  SAVED  Bab 1: Indahnya Bimasakti | Menulis Sajak Bertemakan Bimasakti
  p101/276  SAVED  Bab 1: Kemahiran Menulis | Mengolah Maklumat dan Membuat Justifikasi
  p102/276  SAVED  Bab 1: Mendengar dan Bertutur | Perbincangan dan Perbahasan Rasional
  p103/276  SAVED  Bab 1: Nanoteknologi dalam Kehidupan | Nanoteknologi dalam Kehidupan
  p104/276  SAVED  Bab 1: Hakikat Pokok Pisang | Menulis Seni Bahasa
  p105/276  SKIP  Halaman ini mengandungi kandungan fakta sains pertanian yang tidak berkaitan dengan kemahiran bahasa, tatabahasa, atau sastera Bahasa Malaysia.
  p106/276  SAVED  Bab 1: Tatabahasa | Pengukuhan Ayat Terbitan
  p107/276  SAVED  Bab 1: Pertanian, Penternakan dan Perikanan | 
  p108/276  SAVED  Bab 1: Penawar dalam Sajian | 
  p109/276  SKIP  Teks ini adalah senarai tumbuhan dengan harga dan kegunaan perubatan, bukan kandungan Bahasa Malaysia yang boleh diajar untuk SPM.
  p110/276  SAVED  Bab 1 | Membaca dan Tatabahasa: Ayat Majmuk
  p111/276  SKIP  Teks tidak tersusun dan tidak dapat dikenal pasti sebagai kandungan pengajaran yang jelas.
  p112/276  SAVED  Bab 1: Pasaran dan Pemasaran | 
  p113/276  SAVED  Bab 1: Pemasaran dan Agensi | Program FAMA dalam Pemasaran Pertanian
  p114/276  SAVED  Bab 1: Ikan Hiasan sebagai Sumber Ekonomi | Mendengar dan Bertutur
  p115/276  SAVED  Bab 1: Perikanan | Cabaran Industri Ikan Hiasan
  p116/276  SAVED  Bab 1: Kemahiran Menulis | Menulis Taman Anggur Khatulistiwa
  p117/276  SAVED  Bab 1 | 
  p118/276  SAVED  Bab 1: Cuka Air Kelapa Matang | 
  p119/276  SKIP  Kandungan ini adalah proses sains (penghasilan cuka air kelapa), bukan pengajaran bahasa Melayu seperti tatabahasa, sastera, atau kemahiran bahasa.
  p120/276  SKIP  (only 38 words)
  p121/276  SKIP  (only 33 words)
  p122/276  SAVED  Bab 1: Lestarikan Keindahan Bumi Kita | Mendengar dan Bertutur ? Pelancongan Mampan
  p123/276  SAVED  Bab 1: Antara Alam Sekitar dengan Pembangunan | Dialog Drama
  p124/276  SAVED  Bab 1: Mutiara yang Bersinar | Tatabahasa: Ragam Ayat
  p125/276  SAVED  Bab 1: Melancong | Membaca Puisi dan Prosa
  p126/276  SAVED  Bab 1: Menulis Indahnya Negaraku | Analisis Petikan dan Kesalahan Bahasa
  p127/276  SAVED  Bab 1: Mencari Makna | Mencari Makna Melancong
  p128/276  SAVED  Bab 1: Warisan Negara Kita | Mendengar dan Bertutur
  p129/276  SKIP  Teks mengandungi fakta arkeologi dan sejarah, bukan kandungan Bahasa Malaysia yang boleh diajar untuk SPM.
  p130/276  SAVED  Bab 1: Menulis Pelancongan Tanah Tinggi | Membaca dan Menganalisis Bahan dengan Teknik 5W1H
  p131/276  SAVED  Bab 1: Melancong | 
  p132/276  SAVED  Bab 1: Antara Lancong dengan Lancung | Pengukuhan
  p133/276  SKIP  Halaman ini hanya mengandungi soalan perbincangan dan puisi ringkas berkaitan tema ekonomi, bukan kandungan bahasa Melayu yang boleh diajar secara langsung seperti tatabahasa, sastera, atau kemahiran bahasa.
  p134/276  SAVED  Bab 1: Kewangan Berhemat, Hidup Selamat | Mendengar dan Bertutur
  p135/276  SAVED  Bab 1: Kewangan, Pengurusan dan Keusahawanan | Perangkap Hutang Sambung Bayar
  p136/276  SAVED  Bab 1: Membaca dan Tatabahasa | Kata Tunggal dan Kata Majmuk
  p137/276  SAVED  Bab 1: Pelaburan | Pasaran Saham
  p138/276  SAVED  Bab 1: Transaksi Tanpa Tunai | Menulis Justifikasi dan Brosur Kad Kredit
  p139/276  SAVED  Bab 1: Pengurusan Kewangan | Kebaikan dan Risiko Kad Kredit
  p140/276  SAVED  Bab 1: Dari Kopitiam ke Kafe Hipster | Mendengar dan Bertutur
  p141/276  SKIP  Petikan teks terlalu serpihan dan tidak lengkap untuk membentuk unit pengajaran yang bermakna. Kandungan hanya terdiri daripada beberapa perkataan dan frasa tanpa konteks jelas, menjadikannya sukar untuk menentukan tajuk bab, subtopik, atau menerangkan konsep secara koheren pada peringkat SPM.
  p142/276  SAVED  Bab 1: Perniagaan Pengantaraan | Menulis
  p143/276  SAVED  Bab 1: Kewangan dan Pengurusan | Perkhidmatan E-Panggilan
  p144/276  SAVED  Bab 1: Cabaran Usahawan | Saudagar Burung Walit
  p145/276  SAVED  Bab 1: Kewangan dan Keusahawanan | Menjana Pendapatan dalam Talian
  p146/276  SKIP  (only 27 words)
  p147/276  SKIP  Halaman hanya mengandungi senarai soalan tanpa kandungan pengajaran.
  p148/276  SAVED  Bab 1: Ekosistem Hutan Paya Bakau | Mendengar dan Bertutur
  p149/276  SKIP  Halaman hanya mengandungi peta kemudahan dan ilustrasi tanpa penerangan atau aktiviti pengajaran yang jelas.
  p150/276  SAVED  Bab 1: Kuasa daripada Alam | Tenaga daripada Air
  p151/276  SAVED  Bab 1: Bukan Sekadar Sinaran | Tenaga Solar dan Kelestarian Alam
  p152/276  SAVED  Bab 1: Alam Sekitar dan Teknologi Hijau | Menulis - Kerangka Karangan
  p153/276  SAVED  Bab 1: Alam Sekitar dan Amalan Terbaik | Gurindam Alam Sekitar
  p154/276  SAVED  Bab 1: Gaya Hidup Lestari | Mobiliti Hijau
  p155/276  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Menjana Idea Baharu daripada Maklumat
  p156/276  SAVED  Bab 1: Konservasi Alam | Menulis: Karangan Tentang Kepupusan Hidupan Liar
  p157/276  SAVED  Bab 1: Kepupusan Hidupan Liar | Langkah-langkah Membendung Kepupusan Hidupan Liar
  p158/276  SAVED  Bab 1: Kemahiran Menulis | Penilaian: Menjawab Soalan Berdasarkan Bahan
  p159/276  SKIP  Teks yang diekstrak tidak lengkap dan tidak koheren, terdiri daripada perkataan rawak tanpa struktur pengajaran yang jelas.
  p160/276  SKIP  Teks yang diekstrak tidak koheren dan tidak mengandungi kandungan Bahasa Malaysia yang boleh diajar secara bermakna. Ia kelihatan seperti coretan rawak atau ralat pengekstrakan.
  p161/276  SKIP  Teks pada halaman ini adalah serpihan kata yang tidak tersusun dan tidak membentuk kandungan pengajaran Bahasa Malaysia yang bermakna.
  p162/276  SAVED  Bab 1: Penulisan Karangan | Menulis Kesimpulan Karangan
  p163/276  SKIP  Halaman ini hanya mengandungi soalan perbincangan dan puisi pendek tanpa penerangan konsep atau latihan yang boleh diajar.
  p164/276  SAVED  Bab 1: Berbelanja Tanpa Waswas | Mendengar dan Bertutur
  p165/276  SAVED  Bab 1: Kita Milik Dunia Selamat | 1.4.1 Memberikan maklum balas yang berbentuk idea baharu dalam perbualan secara bertatasusila
  p166/276  SAVED  Bab 1: Siap Sedia Sentiasa | Peranan dan Tugas APM
  p167/276  SAVED  Bab 1: Sedia Menyelamat | 
  p168/276  SAVED  Bab 1: Penulisan dan Seni Bahasa | Menulis Seni Bahasa
  p169/276  SKIP  Halaman hanya mengandungi petikan naratif tanpa fokus pengajaran yang jelas.
  p170/276  SAVED  Bab 1: Bahaya di Sebalik Dawai | Mendengar dan Bertutur
  p171/276  SKIP  Kandungan halaman ini berkaitan dengan panduan keselamatan elektrik dan penguatkuasaan undang-undang, bukan topik Bahasa Malaysia seperti tatabahasa, sastera, atau kemahiran bahasa. Walaupun terdapat rujukan kepada kemahiran berbahas di bahagian bawah, teks utama tidak mengandungi kandungan yang boleh diajar sebagai unit pengajaran Bahasa Malaysia SPM.
  p172/276  SAVED  Bab 1: Beretika di Jalan Raya | Kata Ganda dan Akronim
  p173/276  SKIP  Halaman ini mengandungi maklumat keselamatan jalan raya dan statistik, bukan kandungan pengajaran bahasa Melayu seperti tatabahasa, sastera, atau kemahiran bahasa yang sesuai untuk SPM.
  p174/276  SAVED  Bab 1: Dunia Bahagia untuk Semua | Bacaan Luas ? Gadis Bermata Biru
  p175/276  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Analisis Dialog dalam Prosa
  p176/276  SKIP  (only 26 words)
  p177/276  SAVED  Bab 1: Kebudayaan, Kesenian dan Estetika | 
  p178/276  SAVED  Bab 1: Seni Bahasa dan Irama Tradisional | Irama Antan dan Lesung
  p179/276  SAVED  Bab 1: Irama Sepanjang Zaman | Tumbuk Kalang
  p180/276  SAVED  Bab 1: Membaca | 
  p181/276  SAVED  Bab 1: Estetika dan Kesenian | Membaca dan Menganalisis Artikel Berita
  p182/276  SAVED  Bab 1: Kemahiran Menulis | Menulis Serlahkan Identitimu
  p183/276  SAVED  Bab 1: Estetika dan Kesenian | Pakaian Tradisional Melayu
  p184/276  SAVED  Bab 1: Kemahiran Membaca | Membaca dan Menganalisis Golongan Kata
  p185/276  SAVED  Bab 1: Kebudayaan, Kesenian, dan Estetika | Adat Perkahwinan Suku Kaum Temuan
  p186/276  SAVED  Bab 1: Sana Sini Seni Menulis | Arca Awam di Malaysia
  p187/276  SAVED  Bab 1: Arca Awam Malaysia | 
  p188/276  SAVED  Bab 1: Kilauan Manikam | Pengukuhan
  p189/276  SAVED  Bab 1: Jati Diri, Warganegara Patriotik | Ciri Warganegara dan Penghargaan terhadap Negara
  p190/276  SKIP  Halaman ini mengandungi arahan aktiviti mendengar dan bertutur serta petikan berita, tetapi tidak memberikan penerangan konsep tatabahasa, sastera, atau kemahiran bahasa yang jelas untuk dijadikan unit pengajaran yang koheren.
  p191/276  SKIP  Halaman ini mengandungi petikan berita, bukan kandungan pengajaran Bahasa Malaysia peringkat SPM.
  p192/276  SAVED  Bab 1: Kemahiran Membaca | Teknik Membaca dan Membuat Rumusan
  p193/276  SAVED  Bab 1: Kemahiran Membaca dan Memahami | Membaca dan Menganalisis Berita
  p194/276  SAVED  Bab 1: Penulisan dan Tatabahasa | Menulis dan Tatabahasa
  p195/276  SAVED  Bab 1: Kemahiran Membaca dan Menganalisis Data | Membaca Rencana dan Data Statistik
  p196/276  SKIP  Halaman ini mengandungi arahan aktiviti dan tema, bukan penerangan konsep bahasa yang boleh diajar secara langsung.
  p197/276  SAVED  Bab 1: Puisi Tradisional dan Moden | Analisis Puisi
  p198/276  SAVED  Bab 1: Menulis Simbol Kedaulatan Negara | Menulis Karangan Patriotik tentang Jalur Gemilang
  p199/276  SAVED  Bab 1: Patriotisme dan Lambang Negara | Etika Pengibaran Bendera
  p200/276  SAVED  Bab 1: Patriotik Warganegara | Pengukuhan: Permainan Masa Itu Emas
  p201/276  SAVED  Bab 1: Tiket Merentas Benua | Pengayaan ? Aktiviti Lakonan Permohonan Pasport
  p202/276  SKIP  (only 27 words)
  p203/276  SKIP  Halaman hanya mengandungi tajuk tema dan soalan tanpa kandungan pengajaran yang jelas.
  p204/276  SAVED  Bab 1: Daripada Minda kepada Mendengar dan Bertutur | Sembang Sastera ? Menghargai Peranan Sasterawan Negara
  p205/276  SAVED  Bab 1: Menghargai Sasterawan Negara | Menghargai Sasterawan Negara
  p206/276  SAVED  Bab 1: Membaca Jawi Peranakan | Bahasa Pertuturan Jawi Peranakan Pulau Pinang
  p207/276  SAVED  Bab 1: Sejarah Akhbar dan Kewartawanan | Akhbar Berbahasa Melayu Pertama (Jawi Peranakan)
  p208/276  SAVED  Bab 1: Menulis Seni Bahasa | Bacalah dengan Hatimu
  p209/276  SAVED  Bab 1: Memupuk Budaya Membaca | Kajian Profil Membaca Rakyat Malaysia
  p210/276  SAVED  Bab 1: Impian Anda, Impian Kami | Tulis dan Terbit Sendiri
  p211/276  SAVED  Bab 1: Citra Sastera dan Bahasa | Berunding Secara Kritis
  p212/276  SAVED  Bab 1: Menulis Peribahasa Warisan Kita | Analisis Teks Peribahasa dalam Karangan
  p213/276  SAVED  Bab 1: Peribahasa | 
  p214/276  SAVED  Bab 1: Kesusasteraan Melayu | Biografi Penyair
  p215/276  SAVED  Bab 1: Dirgahayu Bahasaku | Ayat Terbitan
  p216/276  SAVED  Bab 1: Puisi Penyeri Acara | Memilih Puisi untuk Majlis
  p217/276  SKIP  Halaman ini mengandungi soalan perbincangan umum tentang industri dan puisi ringkas, tidak mengandungi kandungan tatabahasa, sastera, atau kemahiran bahasa yang boleh diajar dalam konteks kurikulum Bahasa Malaysia SPM.
  p218/276  SKIP  Halaman mengandungi aktiviti lisan tentang PKS, bukan kandungan pengajaran Bahasa Malaysia yang spesifik seperti tatabahasa, sastera, atau kemahiran bahasa.
  p219/276  SAVED  Bab 1: Isu Pemasaran Produk PKS | 1.8.1 Merumus dan Mengulas Isu Semasa
  p220/276  SAVED  Bab 1: Rezeki daripada Alam | Membaca dan Tatabahasa
  p221/276  SKIP  Halaman mengandungi kandungan infografik berkaitan pertanian (kenaf) tanpa elemen bahasa Melayu yang boleh diajar seperti tatabahasa, sastera, atau kemahiran menulis.
  p222/276  SAVED  Bab 1: Zaman Beralih, Musim Bertukar | Menulis Seni Bahasa
  p223/276  SAVED  Bab 1: Keusahawanan dan Industri Makanan | Industri Makanan Sejuk Beku
  p224/276  SAVED  Bab 1 | Membaca dan Membandingkan Maklumat
  p225/276  SAVED  Bab 1: Kemahiran Membaca dan Memahami Teks Bukan Fiksyen | 
  p226/276  SAVED  Bab 1: Industri Pascamoden | Pendigitalan Industri
  p227/276  SKIP  Kandungan hanya menyenaraikan impak Internet Benda dalam industri tanpa unsur pengajaran bahasa Malaysia seperti tatabahasa, komsas, atau kemahiran berbahasa.
  p228/276  SAVED  Bab 1: Ayat Majmuk | Mengenal Pasti Ayat Majmuk dalam Teks Proses
  p229/276  SAVED  Bab 1: Negara Maju, Rakyat Sejahtera | Pengukuhan ? Karangan Berbudaya dan Faktor Perindustrian
  p230/276  SAVED  Bab 1: Pelancongan Kesejahteraan | Pelancongan Kesejahteraan
  p231/276  SAVED  Bab 1: Integriti | Kepentingan Integriti dan Nilai Murni
  p232/276  SAVED  Bab 1: Mendengar dan Bertutur | Seni Bahasa Indahnya Kejujuran
  p233/276  SAVED  Bab 1: Novel | Analisis Petikan Novel Leftenan Adnan Wira Bangsa
  p234/276  SAVED  Bab 1 | Kronisme, Nepotisme, Kleptokrasi
  p235/276  SAVED  Bab 1: Integriti dan Rasuah | Membaca, Menilai dan Membandingkan Teks tentang Rasuah
  p236/276  SAVED  Bab 1: Pengurusan Integriti | 
  p237/276  SKIP  Halaman ini mengandungi grafik tentang nilai integriti tanpa penerangan atau aktiviti pengajaran yang jelas.
  p238/276  SAVED  Bab 1: Untung tetapi Rugi | Membaca dan Tatabahasa
  p239/276  SAVED  Bab 1: Hak Pengguna | Membaca untuk Merumus Pandangan tentang Isu Pengguna
  p240/276  SAVED  Bab 1: Keperibadian Penjawat Awam | Tonggak 12: Menghargai Masa dan Ketekunan Membawa Kejayaan
  p241/276  SKIP  Kandungan ini adalah ikrar dan petikan nilai, tidak mengandungi elemen tatabahasa, sastera, atau kemahiran bahasa yang boleh diajar dalam BM SPM.
  p242/276  SAVED  Bab 1 | Penulisan Rencana
  p243/276  SAVED  Bab 1 | Kata Kerja Terbitan dan Kata Nama Terbitan
  p244/276  SAVED  Bab 1: Tatabahasa | Ayat Aktif dan Ayat Pasif
  p245/276  SAVED  Bab 1 | Pemahaman Teks Klasik dan Peribahasa
  p246/276  SAVED  Bab 1: Pemahaman Petikan dan Novel | Soalan Pemahaman Berdasarkan Petikan dan Novel
  p247/276  SKIP  Halaman ini hanya mengandungi senarai perkataan untuk latihan pengelasan kata tanpa sebarang penjelasan atau contoh pengajaran.
  p248/276  SAVED  Bab 1: Pembentukan Kata | Imbuhan, Kata Ganda, dan Akronim
  p249/276  SAVED  Bab 1: Golongan Kata dan Frasa | Golongan Kata dan Frasa
  p250/276  SAVED  Bab 1: Pembentukan Ayat | Jenis-jenis Ayat Majmuk dan Ayat Terbitan
  p251/276  SAVED  Bab 1: Tatabahasa ? Ayat Majmuk Campuran dan Ragam Ayat | Ayat Majmuk Campuran dan Ragam Ayat
  p252/276  SAVED  Bab 1: Tatabahasa - Bentuk Kata | Bentuk Kata Majmuk dan Kata Tunggal
  p253/276  SAVED  Bab 10: Alam Sekitar dan Teknologi Hijau | Pembentukan Kata (Terbitan, Ganda, dan Akronim)
  p254/276  SAVED  Bab 1: Golongan Kata | Klasifikasi dan Contoh Golongan Kata
  p255/276  SAVED  Bab 1: Jati Diri, Warganegara Patriotik | Kata Tugas dan Frasa
  p256/276  SAVED  Bab 1: Citra Bahasa dan Sastera Kita | Ayat Terbitan dan Ayat Majmuk
  p257/276  SKIP  Halaman ini mengandungi kandungan sains pertanian tentang pokok kenaf, bukan topik tatabahasa, sastera, atau kemahiran bahasa Malaysia yang boleh diajar.
  p258/276  SAVED  Bab 1 | Ragam Ayat
  p259/276  SKIP  Halaman ini hanyalah glosari yang menyenaraikan istilah dan definisi tanpa kandungan pengajaran yang spesifik.
  p260/276  SKIP  Halaman mengandungi glosari atau senarai definisi perkataan, bukan kandungan pengajaran yang berstruktur seperti subtopik, penerangan konsep, atau contoh latihan.
  p261/276  SKIP  Halaman ini hanya mengandungi senarai perbendaharaan kata tanpa penerangan pengajaran, contoh, atau latihan.
  p262/276  SAVED  Bab 1: Kosa Kata dan Istilah | Kosa Kata dan Istilah
  p263/276  SKIP  Halaman ini hanya mengandungi senarai rujukan, tiada kandungan pengajaran Bahasa Malaysia yang boleh diajar.
  p264/276  SKIP  Halaman ini hanya mengandungi senarai rujukan (URL) tanpa sebarang kandungan pengajaran yang boleh diajar.
  p265/276  SKIP  Halaman ini hanyalah indeks buku teks, tidak mengandungi kandungan pengajaran yang boleh diajar.
  p266/276  SKIP  Halaman ini adalah indeks istilah dan nombor halaman, bukan kandungan pengajaran.
  p267/276  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Mendengar dan Bertutur
